Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
"9,10-Anthraquinone",84-65-1,0,84-65-1,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,+,,,,,,,,The impure sample tested initially in S. typhimurium and in Carc was positive. Subsequent testinting of impure sample gave -ve results,+,,
Aristolochic acid,313-67-7,0,313-67-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,2,0,,,,,+,,,,,,,,,,+,,
l-Ascorbic acid,50-81-7,0,50-81-7,2,»,»,,,,E,E,,,,,,,,,E,,,E,,,,,,,,,,E,,+,,,,,,,,,,+,,,,(-)TC,-,,,,,,,,,-,1,1,,,E,+,,,,,,,,,+,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,2,1,,,,,,-,,,,,,,,,-,,
Auramine O,2465-27-2,0,2465-27-2,2,»,»,,,,+,,,,,,,,,,+,,,TC,,,,,,,,,,I,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,0,,,,,+,,,,,,,,,,+,,
10-Azabenzo(a)pyrene,189-92-4,0,189-92-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
5-Azacytidine,320-67-2,0,320-67-2,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
Azaserine,115-02-6,0,115-02-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,2,0,,,,,+,,,,,,,,,,+,,
Azathioprine,446-86-6,0,446-86-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,3,0,,,,,+,,,,,,,,,,+,,
"3'-Azido-3'-deoxythymidine (Zidovudine, AZT) and GSK33",30516-87-1,0,30516-87-1,2,»,»,+,,,,+,,,,,+,,,,+,,,,,,,,,+,,,,+,,,,,,,,,,,+ [126],+,,,,,-,,,,,+,,,+ [126],+,3,0,,,+,+,,,,,-,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,+,,,,,,,,,+,,
Azobenzene,103-33-3,0,103-33-3,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,-,,,,,,,,,E,0,0,,,(+) Rats,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
"1,1'-Azobisformamide",123-77-3,0,123-77-3,2,»,»,+,+,,,,,,+,,,+,,,+,,,,,,,,,,- Hprt,,,- Hprt,,,,,,,,,,,,,-,+,,,,,,+,,,+,,,+,1,1,,,,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,I,,,I,,
Azinphosmethyl [AKA gusathion],86-50-0,0,86-50-0,2,»,»,,,,+,,,,,,,,,,+,,,TC,,,,,,,,,,I,,,,,,,,,,,,,,,,,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,E,,,,,,,,,E,,
Azoxybenzene,495-48-7,0,495-48-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Azoxymethane,25843-45-2,0,25843-45-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
Basic brown 16/CI 12250   COLIPA C9,26381-41-9,0,26381-41-9,2,»,»,,,,,,,+,+,,,,,+ [10],+,,,,,,+,+ Tk; +Hprt,,,,,,+,,,,,+,+,,,,,,+,,,,,,,+,,,,,,,+,3,0,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,CosE = 3D-skin-model COMET (-)
Basic brown 17/CI 12251   COLIPA B7,68391-32-2,0,68391-32-2,2,»,»,,,,,,,+,+,,,,,+ [11],+,,,,,,E, - Tk; - Hprt,,,,,E call based on -ve MLA but insufficient toxicity with +S9,I,,,,,-,-,,,,,,-,,,,,,,,+,,,,,,+,1,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,CosE = 3D-skin-model COMET (on-going)
Basic orange 31               COLIPA B118,97404-02-9,0,97404-02-9,2,»,»,,,,,,,+,,,,,,+ [12],+,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,-,0,2,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
Basic orange 69               ,226940-14-3,0,226940-14-3,2,»,»,,,,,,,+,,,,,,+ [13],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,0,1,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
Basic red 51 COLIPA B116                    ,77061-58-6,0,77061-58-6,2,»,»,,,,,,,+,,,,,,+ [14],+,,,,,,- Hprt,,,,,,,- Hprt,,,,,,,,,,,,,,,,,,,-,,,,,,,-,0,2,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
"Bayleton [1-(4-chlorophenoxy)-3,3-dimethyl-1-
(1H-1,2,4-triazolyl)-2-butanone]",43121-43-3,0,43121-43-3,2,»,»,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,E,,,,,,,,,,E,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Benz[a]anthracene  ,56-55-3,0,56-55-3,2,»,»,,,,+,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,E,,,,,,,,,"E call but, induces MN in mouse skin",E,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
Benzidine (free base and 2HCl salt),92-87-5/531-85-1,8,92-87-5,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,+,,,,,,,,+[134] BM-MN (free base); + NTP BM-MN (salt),+,,,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,3,0,,,,,+,,,,,,,,,,+,,
2-Benzimidazolylurea,24370-25-0,0,24370-25-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Benznidazole,22994-85-0,0,22994-85-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,E,,,,,,,,,,E,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
Benzo[a]pyrene,50-32-8,0,50-32-8,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,,+,,,,,,,,,+,,E,,,,,,,,,,E,+,,,,,,+,E,,,,,,,E,3,0,,,,,+,,,,,,,,,,+,,
"Benzo[a]pyrene-7,8-diol-9,10-epoxide",58917-67-2,0,58917-67-2,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"1,2,3-Benzotriazole",95-14-7,0,95-14-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,-,,,,,,,,,- [28],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,-,E,,,,,,,,,E,,
Benzo(f)quinoline,85-02-9,0,85-02-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Benzo(h)quinoline,230-27-3,0,230-27-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"1,4- Benzoquinone",106-51-4,0,106-51-4,2,»,»,,,,,-,,,,,,,E,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,(+) F & M Mice,,+,,
Benzotrichloride,98-07-7,0,98-07-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Benzyl chloride,100-44-7,0,100-44-7,2,»,»,+,+,+,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,+,+,+,+,+,,,,,,,,,+,3,0,,-,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,2A ,(+) Mice,,+,+,,,,,,,,+ [167],+,,
Benzyl glycidyl ether -R- and S-isomers,14618-80-5/ 16495-13-9,11,14618-80-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
2- Biphenylamine (free base and HCl salt),90-41-5/ 2185-92-4,8,90-41-5,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,,,,+,,
"2,2-Bis(Bromomethyl)-1,3-propanediol, technical grade",3296-90-0,0,3296-90-0,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"Bis(2-chloro-1-methylethyl)ether, technical grade",108-60-1,0,108-60-1,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,,,,+,,
Bis(2-chloroethoxy)methane,111-91-1,0,111-91-1,2,»,»,,,,,+,,,,,,I,,ECHA  call has been re-evaluated,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-,,,,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,-,,,,,,I,,- [168]: NTP TR-536 2-year Mouse and Rat dermal study,-,,
Bis-2-chloroethylether,111-44-4,0,111-44-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Bis-chloro-methylether,542-88-1,0,542-88-1,2,»,»,,,,,,,,,,,,+,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,+,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,+ (Inhal),,,,,,,,,,,(+) M Rats;    (+) F Mice ,,+,,(+) DLM assay
"Bis(2,3-dibromopropyl)phosphate, magnesium salt",36711-31-6,0,36711-31-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Bis(dimethylamino)benzophenone (Michler's ketone),90-94-8,0,90-94-8,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,E,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
"N,N-Bis(2-hydroxyethyl)-p-phenylenediamine sulfate   COLIPA A50",54381-16-7,0,54381-16-7,2,»,»,,,,,,,+,+,,,,,+ [15],+,,,,,,-,-,,,,,,-,,,,,,+,,,,,,+,,,,,,,+,+,,,,,,+,2,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,-,-,,,,,,-,,CosE = SHE 24hrs (-)
"N,N'-Bis(hydroxyethyl)-2-nitro-p-phenylenediamine COLIPA B034",84041-77-0,0,84041-77-0,2,»,»,,,,,,,+,,,,,,+ [16],+,,,,,,-,,,,,,,-,,,,,+,,,,,,,+,,,,,,,E,,,,,,,E,1,1,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
Bleomycin,11056-06-7,0,11056-06-7,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,4,0,,,,,+,,,,,,,,,+ [169],+,,
Blue VRS,129-17-9,0,129-17-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"Bromate, potassium",7758-01-2,0,7758-01-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,+,,,,,,,,,,+,,
Bromochloroacetic acid,5589-96-8,0,5589-96-8,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,+,,,,,,,,,+,,
1-Bromo-3-chloropropane,109-70-6,0,109-70-6,2,»,»,+,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,inha.(+),,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,not listed,not listed,(+) Rats & Mice (inhal) MHLW,,,,,,,,,,,+,,
Bromodichloromethane,75-27-4,0,75-27-4,2,»,»,,,,,-,,,,,,,,- [17] NTP: in preincubator and desiccator; + [18] in desiccator,E,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,,-,,,,,,,,,E,0,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,+,,,,,,,,,+,,
Bromoethane (ethyl bromide),74-96-4,0,74-96-4,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
2-Bromoethanol,540-51-2,0,540-51-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
7-Bromomethyl-12-methylbenz[a]anthracene,16238-56-5,0,16238-56-5,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
1-(4-Bromophenyl)-3-3'-dimethyltriazene,7239-21-6,0,7239-21-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,+ [134],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
1-Bromopropane,106-94-5,0,106-94-5,2,»,»,,,,,-,,,,,,E,, + [19] in closed incubation systems or by gaseous exposure; - [20] ,+,,,,,,,,,,E,,,E,,,,,,,,,I,,I [127],I,,,,,,,,,,,I,,,I,0,0,,,,-,,,,,,I,,Systemic exposure demonstrated in carc studies by inhalation,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,+,,,,,,+,,,+,,ECHA: (-) DLM assay
2-Bromopropane,75-26-3,0,75-26-3,2,»,»,+,+,+,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,-,,,,,,,,,,,+,1,0,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,,,,,,
Bupropion,34911-55-2,0,34911-55-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"1,3-Butadiene",106-99-0,0,106-99-0,2,»,»,,,,+,+,,,,,,,,,+,,,U,-,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,+,,,,,,,,,+,,+,+,,,,,,,,,+,,-,,,,,,,,,,-,+,,,,,,+,-,,,,,,,-,3,2,,,,,+,+,,,,,,,,,+,,
Butadiene monoxide,930-22-3,0,930-22-3,2,»,»,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,-,,,,,,,,,,-,0,2,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,4,0,,,,,,,,,,,,,,,,,
n-Butylglycidyl ether,2426-08-6,0,2426-08-6,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
N-Butyl-N-(4-hydroxybutyl)nitrosamine,3817-11-6,0,3817-11-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
N-n-Butyl-N-nitrosourea,869-01-2,0,869-01-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Beta-butyrolactone,3068-88-0,0,3068-88-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
Busulfan -compound GSK 34,55-98-1,0,55-98-1,2,»,»,+,,,+,+,,,,,+,,,,+,,,+,+,,,,,- Hprt,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,+,,,,+,3,0,,,+,+,,,,,-,,,,+,,+,,,,,,,,,,+,,,,,,,,-,,,,-,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,-,,,,-,,
Cadmium chloride,10108-64-2,0,10108-64-2,2,»,»,,,,+,-,,,,,,,,+ [21],E,,,U,+,,,,,,,,,I,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,2,0,,,+,+,,,,,,,,+ [133]; +[135],+,,+,,,,,,,,,+ [135],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,+,,,,,,,,,,+,,
Calcium chromate,13765-19-0,0,13765-19-0,2,»,»,,,,+,,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,-,,,,,,,,,+,2,0,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,+ [170],+,,
Calcium cyanamide,156-62-7,0,156-62-7,2,»,»,,,,+,+/ E,,,,,,,,,+,,,+,-,,,,,,,,,+,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,-,,,,,,,,"- [171, 172] ",-,,
Capsaicin,404-86-4,0,404-86-4,2,»,»,,,,+,-,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
Captafol,2425-06-1,0,2425-06-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Captan,133-06-2,0,133-06-2,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,+,,,,,,,,,+ [136],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
Carbadox,6804-07-5,0,6804-07-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
