PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species/Cell Type,Sex,Assay Type,Assay Code,Results,Activation,Dose Response,Panel Report,Reference,Evaluation Type
2135,363895115,6947,C1=CC=C(C(=C1)[N+](=O)[O-])O,Inactive,,,,Allium cepa,,Chromosome aberrations,ALC-,Negative,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2136,363895116,6948,C1=C(C=C(C(=C1C(=O)O)I)I)I,Active,,,,Hordeum vulgare (barley),,Chromosome aberrations,HOC+,Positive,,,"EMICBACK/45867; MUTAT RES 99:13-36,1982",,Evaluation A (Pre-1980)
2137,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2138,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Active,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2139,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
2140,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDH-,Negative,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
2141,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,,,,Escherichia coli WP2 UVRA,,Tryptophan reverse gene mutation,WPU-*,Negative,With metabolic activation,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
2142,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2143,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2144,363895117,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/31446; NTIS PB REPORT PB-268647:251 PP,1977",Evaluation A (Pre-1980)
2145,363895118,6954,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/41641; MUTAT RES 90:91-109,1981",Evaluation B (Post-1980)
2146,363895118,6954,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],Inactive,,,,Allium cepa,,Chromosome aberrations,ALC-,Negative,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2147,363895118,6954,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
2148,363895119,6956,C1=CC=C(C(=C1)C(=O)N)C(=O)N,Inactive,,,,Nonhuman,,In vivo carcinogenicity studies,CCG-,Negative,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
2149,363895120,4021,CC1=NN(C(=O)C1)C2=CC=CC=C2,Inactive,,,,Nonhuman,,In vivo carcinogenicity studies,CCG-L,Negative,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
2150,363895121,66644,C1=CC=C(C(=C1)C(=O)NO)O,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25926; ANTIMICROB AGENTS CHEMOTHER 11:753-755,1977 ; EMICBACK/26451; MUTAT RES 56:7-12,1977",Evaluation A (Pre-1980)
2151,363895122,6989,CC1=CC(=C(C=C1)C(C)C)O,Inactive,,,,Allium cepa,,Chromosome aberrations,ALC-,Negative,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2152,363895122,6989,CC1=CC(=C(C=C1)C(C)C)O,Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
2153,363895123,7000,COC1=CC=CC=C1N,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25098; AM J CLIN PATHOL 67:526-527,1977",Evaluation A (Pre-1980)
2154,363895124,460,COC1=CC=CC=C1O,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,,"EMICBACK/60855; MUTAT RES 169:129-139,1986",Evaluation B (Post-1980)
2155,363895124,460,COC1=CC=CC=C1O,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,,"EMICBACK/60855; MUTAT RES 169:129-139,1986",Evaluation B (Post-1980)
2156,363895124,460,COC1=CC=CC=C1O,Active,,,,Allium cepa,,Chromosome aberrations,ALC+,Positive,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2157,363895124,460,COC1=CC=CC=C1O,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25098; AM J CLIN PATHOL 67:526-527,1977",Evaluation A (Pre-1980)
2158,363895125,7005,C1=CC=C2C(=C1)C=CC=C2O,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
2159,363895125,7005,C1=CC=C2C(=C1)C=CC=C2O,Inactive,,,,Neurospora crassa,,"Aneuploidy, chromosome aberrations",NEN-,Negative,,,"EMICBACK/52327; MUTAT RES 133:87-134,1984",,Evaluation A (Pre-1980)
2160,363895125,7005,C1=CC=C2C(=C1)C=CC=C2O,Active,,,,Allium cepa,,Chromosome aberrations,ALC+,Positive,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2161,363895125,7005,C1=CC=C2C(=C1)C=CC=C2O,Inactive,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL-,Negative,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975",Evaluation A (Pre-1980)
2162,363895126,5281691,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/52164; MUTAT RES 124:255-270,1983",Evaluation B (Post-1980)
2163,363895127,7013,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,Unspecified,,,,Rodents,Male,Dominant lethal test,DLTT,No conclusion,,,"EMICBACK/60142; MUTAT RES 154:49-67,1985","EMICBACK/27497; NTIS AD REPORT (ADA035476):30 PP,1976",Evaluation A (Pre-1980)
2164,363895127,7013,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,Unspecified,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDHT,No conclusion,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
2165,363895127,7013,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2166,363895127,7013,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,Inactive,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL-,Negative,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/27497; NTIS AD REPORT (ADA035476):30 PP,1976 ; EMICBACK/30849; NTIS AD REPORT (AMRL-TR-76-125):27 PP,1976",Evaluation A (Pre-1980)
2167,363895128,5280567,CC1=CC(=O)OC2=C1C=CC(=C2)O,Active,,,,Allium cepa,,Chromosome aberrations,ALC+,Positive,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2168,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Unspecified,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vivo,SC3T,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/48665; MUTAT RES 113:33-43,1983",Evaluation B (Post-1980)
2169,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Salmonella typhimurium,,"Forward and reverse gene mutation, body fluid assay",BFU-,Negative,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982",,Evaluation A (Pre-1980)
2170,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2171,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Active,,,,Mouse embryo (AKR/ME) cells,,Cell transformation,CTK+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2172,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2173,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Salmonella typhimurium,,"Forward and reverse gene mutation, host-mediated assay",HMA-,Negative,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/31455; JNCI J NATL CANCER INST 62:911-918,1979",Evaluation A (Pre-1980)
2174,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Unspecified,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1T,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2175,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Escherichia coli polA (W3110 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE2-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2176,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Rat primary hepatocytes,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDP-,Negative,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
2177,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2178,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Unspecified,,,,Nonhuman,,In vivo carcinogenicity studies,CCGT,No conclusion,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
2179,363895129,7015,C1=CC=C(C=C1)C2=CC=CC=C2N,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+*,Positive,With metabolic activation,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975 ; EMICBACK/27301; MUTAT RES 46:387-394,1977",Evaluation A (Pre-1980)
2180,363895130,7019,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/50807; MUTAT RES 118:103-116,1983",Evaluation B (Post-1980)
2181,363895130,7019,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,Inactive,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDH-,Negative,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
2182,363895130,7019,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21332; MUTAT RES 31:347-364,1975 ; EMICBACK/24461; MUTAT RES 42:327-330,1977",Evaluation A (Pre-1980)
2183,363895131,5385314,CC(=C)C(=O)/C(=C\C(=O)O)/OC,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2184,363895131,5385314,CC(=C)C(=O)/C(=C\C(=O)O)/OC,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+L,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
2185,363895131,5385314,CC(=C)C(=O)/C(=C\C(=O)O)/OC,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2186,363895131,5385314,CC(=C)C(=O)/C(=C\C(=O)O)/OC,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/27918; MUTAT RES 53:11-20,1978",Evaluation A (Pre-1980)
2187,363895132,7031,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2188,363895132,7031,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
2189,363895133,7041,COC1=C(C(=CC=C1)OC)O,Unspecified,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1T,No conclusion,,,"EMICBACK/60855; MUTAT RES 169:129-139,1986",,Evaluation B (Post-1980)
2190,363895133,7041,COC1=C(C(=CC=C1)OC)O,Unspecified,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCLT,No conclusion,,,,"EMICBACK/60855; MUTAT RES 169:129-139,1986",Evaluation B (Post-1980)
2191,363895134,7045,C1=CC=C2C(=C1)N=CC=N2,Inactive,,,,Mouse,Male,Sperm morphology,SPI-,Negative,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
2192,363895135,931,C1=CC=C2C=CC=CC2=C1,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/58188; MUTAT RES 128:105-114,1984",Evaluation B (Post-1980)
2193,363895135,931,C1=CC=C2C=CC=CC2=C1,Inactive,,,,Mouse embryo (AKR/ME) cells,,Cell transformation,CTK-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2194,363895135,931,C1=CC=C2C=CC=CC2=C1,Inactive,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2195,363895135,931,C1=CC=C2C=CC=CC2=C1,Inactive,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL-,Negative,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975",Evaluation A (Pre-1980)
2196,363895136,7047,C1=CC=C2C(=C1)C=CC=N2,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/58851; ENVIRON MUTAGEN 7:1-51,1985",Evaluation B (Post-1980)
2197,363895136,7047,C1=CC=C2C(=C1)C=CC=N2,Inactive,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2-,Negative,,,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
2198,363895136,7047,C1=CC=C2C(=C1)C=CC=N2,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+*,Positive,With metabolic activation,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25203; MUTAT RES 39:285-296,1977 ; EMICBACK/30792; CARCINOG COMPR SURV 3:97-108,1978",Evaluation A (Pre-1980)
2199,363895137,7048,COC1=CC=CC=C1[N+](=O)[O-],Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/30002; MUTAT RES 58:11-22,1978",Evaluation A (Pre-1980)
2200,363895138,3293,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,Inactive,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRL-,Negative,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
2201,363895138,3293,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,Inactive,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL-,Negative,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25261; ACTA VET SCAND 18:187-193,1977",Evaluation A (Pre-1980)
2202,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHO+,Positive,,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/45725; MUTAT RES 94:449-466,1982",Evaluation B (Post-1980)
2203,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D*,Positive,With metabolic activation,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/40980; PROG MUTAT RES 1:538-550,1981",Evaluation B (Post-1980)
2204,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vivo,SC3+,Positive,,,"EMICBACK/50026; MUTAT RES 108:225-238,1983",,Evaluation B (Post-1980)
2205,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D*,Positive,With metabolic activation,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993",,Evaluation B (Post-1980)
2206,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Inactive,,,,Mouse (BALB/c-3T3) cells,,Cell transformation,CTB-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2207,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2208,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Mouse embryo (AKR/ME) cells,,Cell transformation,CTK+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2209,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2210,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
2211,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Salmonella typhimurium,,"Forward and reverse gene mutation, host-mediated assay",HMA+,Positive,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/31455; JNCI J NATL CANCER INST 62:911-918,1979",Evaluation A (Pre-1980)
2212,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNT+,Positive,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
2213,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Neurospora crassa,,Forward gene mutation,NEF+,Positive,,,"EMICBACK/52327; MUTAT RES 133:87-134,1984",,Evaluation A (Pre-1980)
2214,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Tradescantia species,,Gene mutation,TRM+D,Positive,,With dose response,"EMICBACK/48095; MUTAT RES 99:303-315,1982",,Evaluation A (Pre-1980)
2215,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Inactive,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2216,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Escherichia coli polA (W3110 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE2+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
2217,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Inactive,,,,Mouse,Male,Sperm morphology,SPI-,Negative,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
2218,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
2219,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2220,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
2221,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
2222,363895139,7057,C1=CC=C2C=C(C=CC2=C1)N,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+*,Positive,With metabolic activation,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975",Evaluation A (Pre-1980)
2223,363895140,7059,CC1=CC2=C(C=C1)N=CC=C2,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+*,Positive,With metabolic activation,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/30792; CARCINOG COMPR SURV 3:97-108,1978",Evaluation A (Pre-1980)
2224,363895141,7060,CC1=NC2=CC=CC=C2C=C1,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+*,Positive,With metabolic activation,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/30792; CARCINOG COMPR SURV 3:97-108,1978",Evaluation A (Pre-1980)
2225,363895142,323,C1=CC=C2C(=C1)C=CC(=O)O2,Active,,,,Allium cepa,,Chromosome aberrations,ALC+D,Positive,,With dose response,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
2226,363895143,4098,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,Unspecified,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHOT,No conclusion,,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/55060; CANCER LETT 21:337-341,1984",Evaluation B (Post-1980)
