Chemical,SMILES,Identificador,Results,Type,Species,Strain,Male,Female
"(4S,12E)-16,18-dihydroxy-4-methyl-3-oxabicyclo[12.4.0]octadeca-1(14),12,15,17-tetraene-2,8-dione",C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,5281576,Negative,In Vivo,RAT,F344,sim,Não
"(4S,4aR,5S,5aR,6S,12aR)-4-(dimethylamino)-1,5,6,10,11,12a-hexahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride",C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,54680782,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(4S,4aR,5S,5aR,6S,12aR)-4-(dimethylamino)-1,5,6,10,11,12a-hexahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride",C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,54680782,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride",C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride",C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride",C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426,Negative,In Vivo,RAT,F344,sim,sim
"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride",C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426,Negative,In Vivo,RAT,F344,sim,Não
"(4S,5R)-4,5,6-trihydroxy-2-oxohexanal",C([C@@H]([C@@H](CO)O)O)C(=O)C=O,114839,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(4S,5S)-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-1,3-thiazolidine-3-carboxamide",C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,13218777,Negative,In Vivo,Rat,Fischer 344,sim,sim
"(4S,5S)-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-1,3-thiazolidine-3-carboxamide",C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,13218777,Positive,In Vivo,Rat,Fischer 344,sim,Não
"(4S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-1-methyl-2,6-dioxo-1,3-diazinane-4-carboxamide",CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N,114750,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(4S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-1-methyl-2,6-dioxo-1,3-diazinane-4-carboxamide",CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N,114750,Negative,In Vivo,MOUSE,CD-1,sim,Não
"(4S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-1-methyl-2,6-dioxo-1,3-diazinane-4-carboxamide",CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N,114750,Negative,In Vivo,RAT,STRAIN-CD,sim,sim
"(4S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-1-methyl-2,6-dioxo-1,3-diazinane-4-carboxamide",CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N,114750,Negative,In Vivo,RAT,STRAIN-CD,sim,Não
"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,39223,Negative,In Vivo,Mouse,Crl:CD-1BR,sim,sim
"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,39223,Negative,In Vivo,Mouse,Crl:CD-1BR,sim,Não
"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,39223,Negative,In Vivo,Rat,Crl:CDBR,sim,sim
"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,39223,Negative,In Vivo,Rat,Crl:CDBR,sim,Não
"(5R,6R)-5,6-dihydrobenzo[c]acridine-5,6-diol",C1=CC=C2C(=C1)C=C3[C@H]([C@@H](C4=CC=CC=C4C3=N2)O)O,150735,Negative,In Vivo,MOUSE,SWISS,sim,sim
"(5R,6R)-5,6-dihydrobenzo[c]acridine-5,6-diol",C1=CC=C2C(=C1)C=C3[C@H]([C@@H](C4=CC=CC=C4C3=N2)O)O,150735,Negative,In Vivo,MOUSE,SWISS,sim,Não
(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,CC1=CC[C@@H](CC1=O)C(=C)C,16724,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,CC1=CC[C@@H](CC1=O)C(=C)C,16724,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,10403199,Negative,In Vivo,Mouse,C57BL,sim,sim
(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,10403199,Negative,In Vivo,Mouse,C57BL,sim,Não
(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,10403199,Negative,In Vivo,Rat,Sprague-Dawley,sim,sim
(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,10403199,Negative,In Vivo,Rat,Sprague-Dawley,sim,Não
"(5S)-5-(morpholin-4-ylmethyl)-3-[(5-nitrofuran-2-yl)methylideneamino]-1,3-oxazolidin-2-one",C1COCCN1C[C@H]2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-],3005839,Positive,In Vivo,RAT,UNKNOWN,Não,Não
"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,1972-08-03,Positive,in vivo,Mouse,Não definido,Sim,Não
"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,16078,Negative,In Vivo,RAT,F344,sim,sim
"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,16078,Negative,In Vivo,RAT,F344,sim,Não
"(6aR,9R)-5-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,25614-03-03,Negative,in vivo,Human,Não definido,Sim,Não
"(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide;(2R,3R)-2,3-dihydroxybutanedioic acid",C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,,Positive,in vivo,Rodents,Não definido,Sim,Não
"(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide;(Z)-but-2-enedioic acid",CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C.C(=C\C(=O)O)\C(=O)O,129-49-7,Positive,in vivo,Rodents,Não definido,Sim,Não
"(6aR,9R)-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,Negative,in vivo,Drosophila melanogaster,Não definido,Sim,Não
"(6aR,9R)-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,Negative,in vivo,Rodents,Não definido,Sim,Não
"(6E,8E,10E,12E,14E,16E,18E,20E,22E,24E,26E)-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene",CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)C,446925,Negative,In Vivo,MOUSE,C57BL,sim,Não
"(6S,7S)-pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3(8),4,9,12,14,16(20),17-nonaene-6,7-diol",C1=CC2=C3C(=C1)C4=C(C3=CC=C2)C5=C(C=C4)[C@@H]([C@H](C=C5)O)O,115326,Positive,In Vivo,MOUSE,CD-1,sim,sim
"(6S,7S)-pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3(8),4,9,12,14,16(20),17-nonaene-6,7-diol",C1=CC2=C3C(=C1)C4=C(C3=CC=C2)C5=C(C=C4)[C@@H]([C@H](C=C5)O)O,115326,Positive,In Vivo,MOUSE,CD-1,sim,Não
(7-methylbenzo[a]anthracen-12-yl)methanol,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)CO,,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(7R,8R)-2-azapentacyclo[12.8.0.03,12.04,9.017,22]docosa-1,3(12),4(9),5,10,13,15,17,19,21-decaene-7,8-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@H]([C@@H](C=C5)O)O)N=C32,12628781,Positive,In Vivo,MOUSE,CD-1,sim,sim
"(7R,8R)-2-azapentacyclo[12.8.0.03,12.04,9.017,22]docosa-1,3(12),4(9),5,10,13,15,17,19,21-decaene-7,8-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@H]([C@@H](C=C5)O)O)N=C32,12628781,Positive,In Vivo,MOUSE,CD-1,sim,Não
"(7R,8R)-7,8-dihydrobenzo[a]pyrene-7,8-diol",C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@H]([C@@H]5O)O)C=C2,104889,Positive,In Vivo,FISH,RAINBOW TROUT,sim,sim
"(7R,8R)-7,8-dihydrobenzo[a]pyrene-7,8-diol",C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@H]([C@@H]5O)O)C=C2,60864-95-1,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(7S,8S)-2-azapentacyclo[12.8.0.03,12.04,9.017,22]docosa-1,3(12),4(9),10,13,15,17,19,21-nonaene-7,8-diol",C1CC2=C(C=CC3=C2N=C4C(=C3)C=CC5=CC=CC=C54)[C@@H]([C@H]1O)O,180266,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(7S,8S)-2-azapentacyclo[12.8.0.03,12.04,9.017,22]docosa-1,3(12),4(9),10,13,15,17,19,21-nonaene-7,8-diol",C1CC2=C(C=CC3=C2N=C4C(=C3)C=CC5=CC=CC=C54)[C@@H]([C@H]1O)O,180266,Negative,In Vivo,MOUSE,CD-1,sim,Não
"(7S,8S)-7,8-dihydrobenzo[a]pyrene-7,8-diol",C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@@H]([C@H]5O)O)C=C2,104853,Positive,In Vivo,FISH,RAINBOW TROUT,sim,sim
"(7S,8S)-7,8-dihydrobenzo[a]pyrene-7,8-diol",C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@@H]([C@H]5O)O)C=C2,104853,Positive,In Vivo,MOUSE,C57BL,sim,sim
"(7S,8S)-7,8-dihydrobenzo[a]pyrene-7,8-diol",C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@@H]([C@H]5O)O)C=C2,104853,Positive,In Vivo,MOUSE,SWISS,sim,sim
"(7S,8S)-7,8-dihydrobenzo[a]pyrene-7,8-diol",C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@@H]([C@H]5O)O)C=C2,57404-88-3,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(7S,8S)-7,8-dihydrobenzo[f]quinoline-7,8-diol",C1=CC2=C(C=CC3=C2C=C[C@@H]([C@H]3O)O)N=C1,163926,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(7S,8S)-7,8-dihydrobenzo[f]quinoline-7,8-diol",C1=CC2=C(C=CC3=C2C=C[C@@H]([C@H]3O)O)N=C1,163926,Negative,In Vivo,MOUSE,CD-1,sim,Não
"(7S,8S)-7,8-dihydrobenzo[h]quinoline-7,8-diol",C1=CC2=C(C3=C(C=C2)[C@@H]([C@H](C=C3)O)O)N=C1,150583,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(7S,8S)-7,8-dihydrobenzo[h]quinoline-7,8-diol",C1=CC2=C(C3=C(C=C2)[C@@H]([C@H](C=C3)O)O)N=C1,150583,Negative,In Vivo,MOUSE,CD-1,sim,Não
"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,23214-92-8,Positive,in vivo,Human,Não definido,Sim,Não
"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,23214-92-8,Positive,in vivo,Mouse,Não definido,Sim,Não
"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,23214-92-8,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,31703,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,31703,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,Não
"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,20830-81-3,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,30323,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,30323,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,Não
"(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,68-22-4,Positive,in vivo,Human,Não definido,Sim,Não
"(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,6230,Positive,In Vivo,MOUSE,UNKNOWN,Não,Não
"(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,68-22-4,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(8R,9S,10R,13S,14S,17S)-17-ethyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O,52-78-8,Positive,in vivo,Human,Não definido,Sim,Não
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,58-22-0,Positive,in vivo,Human,Não definido,Sim,Não
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,58-22-0,Negative,in vivo,Mouse,Não definido,Sim,Não
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,6013,Positive,In Vivo,MOUSE,UNKNOWN,Não,Não
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,58-22-0,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13,17-trimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,58-18-4,Negative,in vivo,Human,Não definido,Sim,Não
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13,17-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,72-63-9,Positive,in vivo,Human,Não definido,Sim,Não
"(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,6128,Positive,In Vivo,Mouse,B6C3F1,sim,sim
"(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,6128,Positive,In Vivo,Mouse,B6C3F1,sim,Não
"(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,6128,Negative,In Vivo,Rat,F344,sim,Não
"(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,6128,Negative,In Vivo,Rat,F344,sim,sim
"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,5756,Positive,In Vivo,Rodents,UNKNOWN,Não,Não
"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,5756,Positive,In Vivo,HUMAN,UNKNOWN,Não,Não
"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,5756,Positive,In Vivo,MOUSE,UNKNOWN,Não,Não
"(8R,9S,13S,14S,16R,17R)-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-16,17-diol",C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)OC,1474-53-9,Positive,in vivo,Rat,Não definido,Sim,Não
"(8R,9S,13S,14S,16R)-3,16-dihydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H](C2=O)O)CCC4=C3C=CC(=C4)O,115116,Positive,In Vivo,Rodents,SYRIAN,sim,Não
"(8R,9S,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,68570,Negative,In Vivo,Rodents,SYRIAN,sim,Não
