Chemical,SMILES,Identificador,Results,Type
"1,2-dihydropyridazine-3,6-dione",C1=CC(=O)NNC1=O,21954,Negative,In Vivo
"1,2-dihydropyridazine-3,6-dione",C1=CC(=O)NNC1=O,21954,Positive,In Vivo
"1,2-dihydropyridazine-3,6-dione",C1=CC(=O)NNC1=O,123-33-1,Negative,in vivo
"1,2-dihydropyridazine-3,6-dione",C1=CC(=O)NNC1=O,123-33-1,Negative,in vitro
"1,2-dihydroxyanthracene-9,10-dione",C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,72-48-0,Positive,in vitro
"1,2-dimethoxy-4-prop-2-enylbenzene",COC1=C(C=C(C=C1)CC=C)OC,7127,Positive,In Vivo
"1,2-DIMETHYL-5-NITROIMIDAZOLE",CC1=NC=C(N1C)[N+](=O)[O-],551-92-8,Positive,In vivo
"1,2-Dimethyl-5-nitroimidazole",CC1=NC=C(N1C)[N+](=O)[O-],551-92-8,Positive,in vitro
"1,2-dimethylhydrazine",CNNC,1322,Positive,In Vivo
"1,2-dimethylhydrazine",CNNC,1322,Negative,In Vivo
"1,2-dimethylhydrazine",CNNC,540-73-8,Positive,in vivo
"1,2-dimethylhydrazine",CNNC,540-73-8,Negative,in vitro
"1,2-Dimethylhydrazine 2HCl",CNNC.Cl.Cl,306-37-6,Positive,in vitro
"1,2-dimethylhydrazine;dihydrochloride",CNNC.Cl.Cl,306-37-6,Positive,in vivo
"1,2-dimethylhydrazine;dihydrochloride",CNNC.Cl.Cl,9380,Positive,In Vivo
"1,2-dimethylhydrazine;dihydrochloride",CNNC.Cl.Cl,306-37-6,Positive,in vitro
"1,2-DIMETHYLHYDRAZINE.2HCl",CNNC.Cl.Cl,306-37-6,Positive,In vivo
"1,2-diphenylhydrazine",C1=CC=C(C=C1)NNC2=CC=CC=C2,31222,Negative,In Vivo
"1,2-diphenylhydrazine",C1=CC=C(C=C1)NNC2=CC=CC=C2,31222,Positive,In Vivo
"1,2-diphenylhydrazine",C1=CC=C(C=C1)NNC2=CC=CC=C2,122-66-7,Positive,in vivo
"1,2-Epoxybutane",CCC1CO1,106-88-7,Positive,in vitro
"1,2-PROPYLENE OXIDE",CC1CO1,75-56-9,Positive,In vivo
"1,2-Propylene oxide",CC1CO1,75-56-9,Positive,in vitro
"1,2,3-Benzotriazole",C1=CC2=NNN=C2C=C1,95-14-7,Positive,in vitro
"1,2,3-tribromopropane",C(C(CBr)Br)Br,96-11-7,Positive,in vitro
"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene",C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,52663-62-4,Negative,in vivo
"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene",C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,40470,Positive,In Vivo
"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene",C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,52663-62-4,Negative,in vitro
"1,2,3-trichloro-4-(2,3,4-trichlorophenyl)benzene",C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl,38018,Negative,In Vivo
"1,2,3-trichloro-4-(2,3,4-trichlorophenyl)benzene",C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl,38018,Positive,In Vivo
"1,2,3-trichloro-5-(3,4-dichlorophenyl)benzene",C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl,63090,Negative,In Vivo
"1,2,3-trichloro-5-(3,4-dichlorophenyl)benzene",C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl,63090,Positive,In Vivo
"1,2,3-trichlorobenzene",C1=CC(=C(C(=C1)Cl)Cl)Cl,87-61-6,Positive,in vitro
"1,2,3-trichloropropane",C(C(CCl)Cl)Cl,7285,Positive,In Vivo
"1,2,3-Trichloropropane",C(C(CCl)Cl)Cl,96-18-4,Positive,in vitro
"1,2,3,4-tetrabromobutane",C(C(C(CBr)Br)Br)Br,1529-68-6,Negative,in vivo
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",C1CCC2CCCCC2C1,7044,Negative,In Vivo
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",C1CCC2CCCCC2C1,7044,Positive,In Vivo
"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,14410,Negative,In Vivo
"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,14410,Positive,In Vivo
"1,2,3,4,5-pentachloro-6-methoxybenzene",COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,15767,Negative,In Vivo
"1,2,3,4,5-pentachloro-6-methoxybenzene",COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,15767,Positive,In Vivo
"1,2,3,4,5-pentachloro-6-nitrobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],6720,Negative,In Vivo
"1,2,3,4,5-pentachloro-6-nitrobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],6720,Positive,In Vivo
"1,2,3,4,5-pentachloro-6-nitrobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],82-68-8,Negative,in vivo
"1,2,3,4,5-pentachloro-6-nitrobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],82-68-8,Negative,in vitro
"1,2,3,4,5,5-hexachlorocyclopenta-1,3-diene",C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,6478,Negative,In Vivo
"1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.02,6.03,9.04,8]decane",C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,16945,Positive,In Vivo
"1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.02,6.03,9.04,8]decane",C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,2385-85-5,Positive,in vivo
"1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.02,6.03,9.04,8]decane",C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,2385-85-5,Negative,in vivo
"1,2,3,4,5,6-hexachlorobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,8370,Positive,In Vivo
"1,2,3,4,5,6-hexachlorobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,118-74-1,Positive,in vivo
"1,2,3,4,5,6-hexachlorobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,8370,Negative,In Vivo
"1,2,3,4,5,6-hexachlorobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,118-74-1,Negative,in vivo
"1,2,3,4,5,6-hexachlorocyclohexane",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,727,Negative,In Vivo
"1,2,3,4,5,6-hexachlorocyclohexane",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,727,Positive,In Vivo
"1,2,3,4,5,6-hexachlorocyclohexane",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,58-89-9,Positive,in vivo
"1,2,3,4,5,6-hexachlorocyclohexane",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,58-89-9,Negative,in vitro
"1,2,3,4,5,6,8,9,10,11-decadeuterio-7,12-bis(trideuteriomethyl)benzo[a]anthracene",[2H]C1=C(C(=C2C(=C1[2H])C(=C(C3=C(C4=C(C(=C(C(=C4C(=C32)C([2H])([2H])[2H])[2H])[2H])[2H])[2H])C([2H])([2H])[2H])[2H])[2H])[2H])[2H],6913060,Positive,In Vivo
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,37270,Positive,In Vivo
"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one",C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,299,Positive,In Vivo
"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one",C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,143-50-0,Positive,in vivo
"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin",C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=CC(=C(C(=C3O2)Cl)Cl)Cl,42540,Negative,In Vivo
"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin",C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=CC(=C(C(=C3O2)Cl)Cl)Cl,42540,Positive,In Vivo
"1,2,4-trichloro-5-(2,4,5-trichlorophenyl)benzene",C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,37034,Negative,In Vivo
"1,2,4-trichloro-5-(3-iodoprop-2-ynoxy)benzene",C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI,0777-11-7,Negative,in vitro
"1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene",C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl,35823,Positive,In Vivo
"1,2,4-trichloro-5-(4-chlorophenoxy)benzene",C1=CC(=CC=C1OC2=CC(=C(C=C2Cl)Cl)Cl)Cl,61328-45-8,Negative,in vitro
"1,2,4-trichloro-5-(4-chlorophenyl)sulfonylbenzene",C1=CC(=CC=C1S(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,116-29-0,Positive,in vitro
"1,2,4-trichlorobenzene",C1=CC(=C(C=C1Cl)Cl)Cl,120-82-1,Positive,in vitro
"1,2,4-trihydroxyanthracene-9,10-dione",C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,6683,Positive,In Vivo
"1,2,4-Trihydroxybenzene - COLIPA A33",C1=CC(=C(C=C1O)O)O,533-73-3,Negative,in vitro
"1,2,4-trimethoxy-5-[(E)-prop-1-enyl]benzene",C/C=C/C1=CC(=C(C=C1OC)OC)OC,636822,Negative,In Vivo
"1,2,4-trimethoxy-5-[(E)-prop-1-enyl]benzene",C/C=C/C1=CC(=C(C=C1OC)OC)OC,636822,Positive,In Vivo
"1,2,4-TRIMETHYLBENZENE",CC1=CC(=C(C=C1)C)C,95-63-6,Positive,In vivo
"1,2,4-trimethylbenzene",CC1=CC(=C(C=C1)C)C,95-63-6,Negative,in vitro
"1,2,4,5-tetrachloro-3-methoxy-6-nitrobenzene",COC1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,17107,Negative,In Vivo
"1,2,4,5-tetrachloro-3-methoxy-6-nitrobenzene",COC1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,2438-88-2,Negative,in vivo
"1,2,6-trimethyl-4-nitrosopiperazine",CC1CN(CC(N1C)C)N=O,150692,Positive,In Vivo
"1,2,8-trihydroxy-3-methoxy-6-methylanthracene-9,10-dione",CC1=CC2=C(C(=C1)O)C(=O)C3=C(C(=C(C=C3C2=O)OC)O)O,7213-59-4,Positive,in vitro
"1,3-benzodioxol-5-ol",C1OC2=C(O1)C=C(C=C2)O,68289,Positive,In Vivo
"1,3-benzodioxol-5-ol",C1OC2=C(O1)C=C(C=C2)O,68289,Negative,In Vivo
"1,3-benzodioxol-5-yl(oxiran-2-yl)methanol",C1C(O1)C(C2=CC3=C(C=C2)OCO3)O,,Positive,in vitro
"1,3-benzodioxol-5-yl(oxiran-2-yl)methanone",C1C(O1)C(=O)C2=CC3=C(C=C2)OCO3,,Positive,in vitro
"1,3-bis(2-chloroethyl)-1-nitrosourea",C(CCl)NC(=O)N(CCCl)N=O,154-93-8,Positive,in vivo
"1,3-bis(2-chloroethyl)-1-nitrosourea",C(CCl)NC(=O)N(CCCl)N=O,154-93-8,Positive,in vitro
"1,3-BUTADIENE",C=CC=C,106-99-0,Positive,In vivo
"1,3-Butadiene",C=CC=C,106-99-0,Positive,in vitro
"1,3-diazinane-2,4,5,6-tetrone",C1(=O)C(=O)NC(=O)NC1=O,5781,Positive,In Vivo
"1,3-diazinane-2,4,5,6-tetrone",C1(=O)C(=O)NC(=O)NC1=O,50-71-5,Negative,in vitro
"1,3-dibutyl-1-(4-phenyl-1,3-thiazol-2-yl)urea",CCCCNC(=O)N(CCCC)C1=NC(=CS1)C2=CC=CC=C2,,Positive,in vitro
"1,3-DIBUTYL-1-NITROSOUREA",CCCCNC(=O)N(CCCC)N=O,56654-52-5,Positive,In vivo
"1,3-Dibutyl-1-nitrosourea",CCCCNC(=O)N(CCCC)N=O,56654-52-5,Positive,in vitro
"1,3-Dichloro-2-propanol",C(C(CCl)O)Cl,96-23-1,Positive,in vitro
"1,3-dichloro-5-(3-chlorophenyl)benzene",C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,38037,Negative,In Vivo
"1,3-dichloro-5-(3-chlorophenyl)benzene",C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,38037,Positive,In Vivo
"1,3-dichlorobenzene",C1=CC(=CC(=C1)Cl)Cl,541-73-1,Positive,in vitro
"1,3-dichloropropan-2-ol",C(C(CCl)O)Cl,96-23-1,Positive,in vitro
"1,3-dichloropropan-2-one",C(C(=O)CCl)Cl,0534-07-06,Positive,in vitro
"1,3-Dichloropropene (AKA Telone II)",C(C=CCl)Cl,542-75-6,Positive,in vitro
"1,3-dicyclohexylthiourea",C1CCC(CC1)NC(=S)NC2CCCCC2,727200,Negative,In Vivo
"1,3-dicyclohexylthiourea",C1CCC(CC1)NC(=S)NC2CCCCC2,1212-29-9,Positive,in vitro
"1,3-diethyl-1-nitrosourea",CCNC(=O)N(CC)N=O,96620,Positive,In Vivo
"1,3-diethyl-1-nitrosourea",CCNC(=O)N(CC)N=O,49540-32-1,Positive,in vitro
"1,3-diethylthiourea",CCNC(=S)NCC,2735009,Negative,In Vivo
"1,3-diethylthiourea",CCNC(=S)NCC,105-55-5,Positive,in vivo
"1,3-diethylthiourea",CCNC(=S)NCC,2735009,Positive,In Vivo
"1,3-diethylthiourea",CCNC(=S)NCC,105-55-5,Negative,in vitro
"1,3-dihydroxy-2-(hydroxymethyl)anthracene-9,10-dione",C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)CO)O,478-08-0,Positive,in vitro
"1,3-dihydroxypropan-2-one",C(C(=O)CO)O,670,Negative,In Vivo
"1,3-dihydroxyurea",C(=O)(NO)NO,686-68-0,Negative,in vitro
"1,3-Diisopropylcarbodiimide",CC(C)N=C=NC(C)C,12734,Negative,In Vivo
"1,3-dimethyl-1-nitrosourea",CNC(=O)N(C)N=O,83273,Positive,In Vivo
"1,3-dimethyl-1-nitrosourea",CNC(=O)N(C)N=O,13256-32-1,Positive,in vitro
"1,3-dimethyl-7H-purine-2,6-dione",CN1C2=C(C(=O)N(C1=O)C)NC=N2,2153,Negative,In Vivo
"1,3-dimethyl-7H-purine-2,6-dione",CN1C2=C(C(=O)N(C1=O)C)NC=N2,58-55-9,Positive,in vitro
"1,3-dimethylnaphthalene",CC1=CC2=CC=CC=C2C(=C1)C,575-41-7,Negative,in vitro
"1,3-dinitrobenzene",C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],99-65-0,Positive,in vitro
"1,3-dinitropyrene",C1=CC2=C3C(=C1)C=CC4=C(C=C(C(=C43)C=C2)[N+](=O)[O-])[N+](=O)[O-],53230,Positive,In Vivo
"1,3-dinitropyrene",C1=CC2=C3C(=C1)C=CC4=C(C=C(C(=C43)C=C2)[N+](=O)[O-])[N+](=O)[O-],75321-20-9,Positive,in vitro
"1,3-dioxolan-2-one",C1COC(=O)O1,7303,Negative,In Vivo
"1,3-dioxolan-4-ylmethanol",C1C(OCO1)CO,5464-28-8,Negative,in vitro
"1,3-Propane sultone",C1COS(=O)(=O)C1,1120-71-4,Positive,in vitro
"1,3-thiazolidine",C1CSCN1,10444,Negative,In Vivo
"1,3,2-dioxathiane 2,2-dioxide",C1COS(=O)(=O)OC1,1073-05-08,Positive,in vitro
"1,3,2-dioxathiolane 2,2-dioxide",C1COS(=O)(=O)O1,1072-53-3,Positive,in vitro
"1,3,4-thiadiazol-2-amine",C1=NN=C(S1)N,4005-51-0,Positive,in vitro
"1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,5993,Negative,In Vivo
"1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,5993,Positive,In Vivo
"1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,12789-03-06,Positive,in vivo
"1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,12789-03-06,Positive,in vitro
"1,3,5-triazine-2,4,6-triamine",C1(=NC(=NC(=N1)N)N)N,7955,Negative,In Vivo
"1,3,5-triazine-2,4,6-triamine",C1(=NC(=NC(=N1)N)N)N,7955,Positive,In Vivo
"1,3,5-trichloro-2-(4-chlorophenoxy)benzene",C1=CC(=CC=C1OC2=C(C=C(C=C2Cl)Cl)Cl)Cl,,Negative,in vitro
"1,3,5-trichloro-2,4,6-trinitrobenzene",C1(=C(C(=C(C(=C1Cl)[N+](=O)[O-])Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],2631-68-7,Negative,in vitro
"1,3,5-trichlorobenzene",C1=C(C=C(C=C1Cl)Cl)Cl,108-70-3,Negative,in vitro
"1,3,5-trinitrobenzene",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7434,Negative,In Vivo
"1,3,5-TRINITROBENZENE",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],99-35-4,Negative,In vivo
"1,3,5-tris(oxyranylmethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",C1C(O1)CN2C(=O)N(C(=O)N(C2=O)CC3CO3)CC4CO4,2451-62-9,Positive,in vitro
"1,3,5,7-tetrazatricyclo[3.3.1.13,7]decane",C1N2CN3CN1CN(C2)C3,100-97-0,Positive,in vitro
"1,3,6-trinitropyrene",C1=CC2=C3C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])C=CC4=C(C=CC1=C43)[N+](=O)[O-],75321-19-6,Positive,in vitro
"1,3,7-triethylpurine-2,6-dione",CCN1C=NC2=C1C(=O)N(C(=O)N2CC)CC,,Negative,in vitro
"1,3,7-trimethyl-8-(methylamino)purine-2,6-dione",CNC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C,5422-30-0,Positive,in vitro
"1,3,7-trimethyl-8-methylsulfanylpurine-2,6-dione",CN1C2=C(N=C1SC)N(C(=O)N(C2=O)C)C,6287-54-3,Positive,in vitro
"1,3,7-trimethyl-8-prop-2-enoxypurine-2,6-dione",CN1C2=C(N=C1OCC=C)N(C(=O)N(C2=O)C)C,6287-60-1,Positive,in vitro
"1,3,7-trimethyl-8-propoxypurine-2,6-dione",CCCOC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C,1818-66-2,Positive,in vitro
"1,3,7-trimethyl-9-prop-2-enylpurine-2,6,8-trione",CN1C2=C(N(C(=O)N(C2=O)C)C)N(C1=O)CC=C,,Positive,in vitro
"1,3,7-trimethyl-9H-purine-2,6,8-trione",CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,5415-44-1,Negative,in vitro
"1,3,7-trimethylpurine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,58-08-2,Negative,in vivo
"1,3,7-trimethylpurine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,58-08-2,Positive,in vivo
"1,3,7-trimethylpurine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519,Negative,In Vivo
"1,3,7-trimethylpurine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,58-08-2,Negative,in vitro
"1,3,7,11,15,19,23-heptachlorotetracosane",CC(CCCC(CCCC(CCCC(CCCC(CCCC(CCCl)Cl)Cl)Cl)Cl)Cl)Cl,22833490,Positive,In Vivo
"1,3,7,11,15,19,23-heptachlorotetracosane",CC(CCCC(CCCC(CCCC(CCCC(CCCC(CCCl)Cl)Cl)Cl)Cl)Cl)Cl,22833490,Negative,In Vivo
"1,3,7,9-tetramethylpurine-2,6,8-trione",CN1C2=C(N(C1=O)C)N(C(=O)N(C2=O)C)C,2309-49-1,Positive,in vitro
"1,3,8-triazatricyclo[7.4.0.02,7]trideca-2(7),3,5,8,10,12-hexaen-4-amine",C1=CC2=NC3=C(N2C=C1)N=C(C=C3)N,49970,Positive,In Vivo
"1,3,8-triazatricyclo[7.4.0.02,7]trideca-2(7),3,5,8,10,12-hexaen-4-amine",C1=CC2=NC3=C(N2C=C1)N=C(C=C3)N,67730-10-3,Positive,in vitro
"1,3,8-trihydroxy-6-methylanthracene-9,10-dione",CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,3220,Negative,In Vivo
"1,3,8-trihydroxy-6-methylanthracene-9,10-dione",CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,518-82-1,Negative,in vitro
"1,4-BENZOQUINONE",C1=CC(=O)C=CC1=O,106-51-4,Positive,In vivo
"1,4-bis(chloromethoxymethyl)benzene",C1=CC(=CC=C1COCCl)COCCl,62123,Positive,In Vivo
"1,4-bis(dimethylamino)-5,8-dihydroxyanthracene-9,10-dione",CN(C)C1=C2C(=C(C=C1)N(C)C)C(=O)C3=C(C=CC(=C3C2=O)O)O,,Positive,in vitro
"1,4-bis(hydroxymethyl)piperazine-2,5-dione",C1C(=O)N(CC(=O)N1CO)CO,7383-56-4,Negative,in vitro
"1,4-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione",C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCO)NCCNCCO,64862-96-0,Positive,in vitro
"1,4-bis[2-(dimethylamino)ethylamino]-5,8-dihydroxyanthracene-9,10-dione",CN(C)CCNC1=C2C(=C(C=C1)NCCN(C)C)C(=O)C3=C(C=CC(=C3C2=O)O)O,70476-63-0,Positive,in vitro
"1,4-bis[bis(aziridin-1-yl)phosphoryl]piperazine",C1CN1P(=O)(N2CC2)N3CCN(CC3)P(=O)(N4CC4)N5CC5,738-99-8,Positive,in vitro
"1,4-diaminoanthracene-9,10-dione",C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)N)N,128-95-0,Negative,in vitro
"1,4-dichloro-2-(2,5-dichlorophenyl)benzene",C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl,37248,Negative,In Vivo
"1,4-Dichloro-2-nitrobenzene",C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl,89-61-2,Negative,in vitro
"1,4-dichloro-2,5-dimethoxybenzene",COC1=CC(=C(C=C1Cl)OC)Cl,2675-77-6,Positive,in vitro
"1,4-DICHLOROBENZENE",C1=CC(=CC=C1Cl)Cl,106-46-7,Negative,In vivo
"1,4-dichlorobenzene",C1=CC(=CC=C1Cl)Cl,4685,Positive,In Vivo
"1,4-DICHLOROBENZENE",C1=CC(=CC=C1Cl)Cl,106-46-7,Positive,In vivo
"1,4-dichlorobenzene",C1=CC(=CC=C1Cl)Cl,4685,Negative,In Vivo
"1,4-dichlorobenzene",C1=CC(=CC=C1Cl)Cl,106-46-7,Positive,in vitro
"1,4-DICHLOROBUTENE-2 (65% trans-, 35% cis-)",C(C=CCCl)Cl,764-41-0,Positive,In vivo
"1,4-dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione",C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,65271-80-9,Positive,in vitro
"1,4-dimethyl-5H-pyrido[4,3-b]indol-3-amine",CC1=C2C(=C(N=C1N)C)C3=CC=CC=C3N2,5284474,Positive,In Vivo
"1,4-dimethyl-5H-pyrido[4,3-b]indol-3-amine",CC1=C2C(=C(N=C1N)C)C3=CC=CC=C3N2,62450-06-0,Positive,in vivo
"1,4-dimethyl-5H-pyrido[4,3-b]indol-3-amine",CC1=C2C(=C(N=C1N)C)C3=CC=CC=C3N2,62450-06-0,Positive,in vitro
"1,4-Dimethylnaphthalene",Cc1ccc(C)c2ccccc12,571-58-4,Negative,in vivo
"1,4-Dimethylnaphthalene",Cc1ccc(C)c2ccccc12,571-58-4,Negative,in vitro
"1,4-dinitroso-1,4-diazepane",C1CN(CCN(C1)N=O)N=O,55557-00-1,Positive,in vitro
"1,4-DINITROSO-2,6-DIMETHYLPIPERAZINE",CC1CN(CC(N1N=O)C)N=O,55380-34-2,Positive,In vivo
"1,4-dinitrosopiperazine",C1CN(CCN1N=O)N=O,140-79-4,Positive,in vivo
"1,4-dinitrosopiperazine",C1CN(CCN1N=O)N=O,8819,Positive,In Vivo
"1,4-dinitrosopiperazine",C1CN(CCN1N=O)N=O,140-79-4,Negative,in vitro
"1,4-dioxane",C1COCCO1,31275,Positive,In Vivo
"1,4-DIOXANE",C1COCCO1,123-91-1,Positive,In vivo
"1,4-dioxane",C1COCCO1,123-91-1,Negative,in vitro
"1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid",C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,8266,Negative,In Vivo
"1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid",C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,8266,Positive,In Vivo
"1,4,5,7-tetrahydroxy-2-methylanthracene-9,10-dione",CC1=CC(=C2C(=C1O)C(=O)C3=C(C2=O)C(=CC(=C3)O)O)O,476-46-0,Positive,in vitro
"1,4,5,8-tetraaminoanthracene-9,10-dione",C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N,17190,Negative,In Vivo
